fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-05-31;8295;APV;-0.81%;0.32%;-2.06%;2.19%;-0.94%
2023-06-01;8295;APV;-0.62%;0.95%;-1.85%;2.54%;-0.72%
2023-06-02;8295;APV;-0.44%;1.66%;-1.99%;2.74%;-0.50%
2023-06-03;8295;APV;-0.42%;1.32%;-1.99%;3.03%;-0.49%
2023-06-04;8295;APV;-0.33%;1.31%;-1.99%;3.01%;-0.48%
2023-06-05;8295;APV;-0.18%;1.45%;-1.68%;3.15%;-0.31%
2023-06-06;8295;APV;0.04%;1.94%;-1.33%;3.39%;-0.07%
2023-06-07;8295;APV;-0.13%;2.08%;-1.17%;2.96%;-0.20%
2023-06-08;8295;APV;-0.28%;1.73%;-1.26%;3.35%;-0.28%
2023-06-09;8295;APV;-0.06%;2.09%;-0.78%;3.87%;-0.26%
2023-06-10;8295;APV;0.04%;2.07%;-0.80%;3.96%;-0.25%
2023-06-11;8295;APV;-0.19%;2.07%;-0.81%;3.94%;-0.25%
2023-06-12;8295;APV;0.68%;2.58%;-0.06%;4.44%;0.26%
2023-06-13;8295;APV;0.75%;1.55%;0.42%;4.80%;0.36%
2023-06-14;8295;APV;0.81%;1.71%;0.13%;4.99%;0.43%
2023-06-15;8295;APV;1.20%;1.77%;0.41%;4.86%;0.66%
2023-06-16;8295;APV;1.10%;1.55%;0.30%;5.02%;0.71%
2023-06-17;8295;APV;0.92%;1.45%;0.29%;4.65%;0.72%
2023-06-18;8295;APV;0.99%;1.45%;0.27%;4.63%;0.72%
2023-06-19;8295;APV;1.12%;1.52%;0.48%;4.67%;0.79%
2023-06-20;8295;APV;1.40%;1.65%;0.80%;4.63%;1.08%
2023-06-21;8295;APV;1.40%;1.48%;0.95%;4.61%;1.09%
2023-06-22;8295;APV;1.53%;1.82%;1.51%;4.29%;1.22%
2023-06-23;8295;APV;1.60%;1.76%;1.05%;3.61%;1.04%
2023-06-24;8295;APV;1.62%;1.46%;1.03%;3.00%;1.04%
2023-06-25;8295;APV;1.98%;1.47%;1.02%;2.98%;1.05%
2023-06-26;8295;APV;2.01%;1.47%;0.95%;2.95%;1.06%
2023-06-27;8295;APV;2.00%;1.80%;0.99%;2.93%;1.06%
2023-06-28;8295;APV;1.87%;1.73%;1.29%;3.22%;0.95%
2023-06-29;8295;APV;1.80%;1.69%;1.01%;2.77%;0.90%
2023-06-30;8295;APV;2.00%;1.55%;1.05%;2.50%;1.05%
2023-07-01;8295;APV;1.79%;1.34%;1.01%;2.29%;1.05%
2023-07-02;8295;APV;1.57%;1.34%;0.99%;2.27%;1.06%
